age,job,marital,education,Account_Balance,Channel,month,Campaign_Contacts,Previous_Outcome,Converted,Month_No
41,blue-collar,single,secondary,1085,cellular,jul,1,unknown,1,7
34,blue-collar,divorced,secondary,368,cellular,jul,1,unknown,0,7
35,entrepreneur,married,primary,25,cellular,jul,1,unknown,0,7
43,management,divorced,tertiary,-132,cellular,jul,2,unknown,0,7
59,blue-collar,divorced,primary,1265,cellular,jul,1,unknown,1,7
46,management,married,secondary,700,cellular,jul,1,unknown,0,7
55,blue-collar,single,secondary,82,cellular,jul,1,unknown,0,7
41,housemaid,married,primary,1529,cellular,jul,6,unknown,0,7
59,management,single,tertiary,623,cellular,jul,4,unknown,0,7
39,technician,married,secondary,-241,cellular,jul,4,unknown,0,7
26,technician,divorced,tertiary,278,cellular,jul,1,unknown,0,7
33,blue-collar,married,secondary,1834,cellular,jul,3,unknown,0,7
32,technician,single,secondary,-398,cellular,jul,2,unknown,0,7
41,technician,divorced,secondary,0,cellular,jul,4,unknown,0,7
29,services,married,secondary,-597,cellular,jul,2,unknown,0,7
31,blue-collar,single,secondary,16,cellular,jul,1,unknown,0,7
37,admin.,married,secondary,10,cellular,jul,2,unknown,0,7
50,admin.,single,secondary,-79,cellular,jul,1,unknown,0,7
27,management,single,tertiary,338,cellular,jul,1,unknown,0,7
47,management,married,tertiary,-50,cellular,jul,1,unknown,0,7
47,technician,single,secondary,-239,cellular,jul,3,unknown,1,7
47,housemaid,married,tertiary,333,telephone,jul,1,unknown,0,7
51,services,married,secondary,867,cellular,jul,3,unknown,0,7
57,retired,married,secondary,-37,cellular,jul,1,unknown,0,7
44,technician,divorced,secondary,0,cellular,jul,4,unknown,0,7
51,management,married,tertiary,1392,cellular,jul,3,unknown,0,7
28,blue-collar,married,primary,-196,cellular,jul,1,unknown,0,7
41,admin.,single,secondary,0,cellular,jul,1,unknown,0,7
30,management,single,secondary,269,cellular,jul,2,unknown,0,7
25,blue-collar,single,secondary,913,cellular,jul,4,unknown,0,7
32,admin.,single,secondary,-267,cellular,jul,1,unknown,0,7
40,services,married,secondary,193,cellular,jul,1,unknown,0,7
31,services,single,secondary,78,cellular,jul,1,unknown,0,7
30,unemployed,married,secondary,85,cellular,jul,1,unknown,0,7
25,services,single,secondary,111,cellular,jul,1,unknown,0,7
45,blue-collar,married,secondary,226,telephone,jul,2,unknown,0,7
49,blue-collar,married,primary,-354,cellular,jul,1,unknown,0,7
32,admin.,single,secondary,212,cellular,jul,5,unknown,1,7
52,blue-collar,married,primary,9444,cellular,jul,3,unknown,0,7
35,management,single,tertiary,14,cellular,jul,2,unknown,0,7
60,retired,divorced,tertiary,468,cellular,jul,2,unknown,0,7
33,blue-collar,single,primary,-15,cellular,jul,2,unknown,0,7
43,management,married,tertiary,1530,cellular,jul,3,unknown,0,7
42,admin.,married,secondary,1133,cellular,jul,3,unknown,0,7
50,technician,married,unknown,680,cellular,jul,5,unknown,0,7
33,services,single,secondary,329,cellular,jul,4,unknown,0,7
42,technician,married,secondary,473,cellular,jul,5,unknown,0,7
26,blue-collar,single,secondary,-8019,cellular,jul,3,unknown,0,7
25,technician,single,tertiary,226,cellular,jul,2,unknown,0,7
26,admin.,married,secondary,383,cellular,jul,2,unknown,0,7
39,admin.,divorced,secondary,1,cellular,jul,1,unknown,0,7
39,services,married,secondary,27,cellular,jul,1,unknown,0,7
31,technician,single,secondary,49,cellular,jul,1,unknown,0,7
52,unemployed,married,tertiary,1023,cellular,jul,6,unknown,0,7
28,admin.,single,secondary,1507,cellular,jul,1,unknown,0,7
46,blue-collar,married,primary,3969,telephone,jul,5,unknown,0,7
28,services,single,secondary,198,cellular,jul,1,unknown,0,7
54,housemaid,married,secondary,0,cellular,jul,1,unknown,0,7
45,blue-collar,married,primary,55,cellular,jul,3,unknown,0,7
58,entrepreneur,married,primary,124,cellular,jul,7,unknown,0,7
42,blue-collar,single,secondary,419,cellular,jul,3,unknown,0,7
34,blue-collar,single,secondary,-72,cellular,jul,5,unknown,0,7
50,technician,married,secondary,0,cellular,jul,2,unknown,0,7
59,blue-collar,married,primary,3372,cellular,jul,1,unknown,0,7
56,blue-collar,married,secondary,58932,telephone,jul,2,unknown,0,7
58,technician,divorced,secondary,-354,cellular,jul,1,unknown,0,7
31,management,married,tertiary,-513,cellular,jul,1,unknown,0,7
58,blue-collar,divorced,secondary,916,cellular,jul,4,unknown,0,7
25,services,single,secondary,402,cellular,jul,1,unknown,0,7
32,blue-collar,single,secondary,22,cellular,jul,1,unknown,0,7
38,blue-collar,married,primary,433,cellular,jul,3,unknown,0,7
33,management,single,secondary,1326,cellular,jul,2,unknown,0,7
37,admin.,married,secondary,147,cellular,jul,30,unknown,0,7
38,management,married,tertiary,76,cellular,jul,3,unknown,0,7
31,management,single,tertiary,1598,cellular,jul,33,unknown,0,7
52,blue-collar,divorced,secondary,497,cellular,jul,2,unknown,0,7
27,admin.,single,secondary,145,cellular,jul,3,unknown,0,7
31,admin.,single,tertiary,383,cellular,jul,1,unknown,0,7
35,management,married,tertiary,1361,cellular,jul,11,unknown,0,7
28,unemployed,single,secondary,-1270,telephone,jul,2,unknown,0,7
29,blue-collar,married,secondary,-305,cellular,jul,1,unknown,0,7
33,technician,married,secondary,2284,cellular,jul,2,unknown,0,7
39,services,married,secondary,0,cellular,jul,5,unknown,0,7
47,blue-collar,married,secondary,-594,cellular,jul,4,unknown,0,7
39,blue-collar,married,unknown,18,cellular,jul,3,unknown,0,7
50,technician,married,secondary,1717,telephone,jul,8,unknown,0,7
50,self-employed,divorced,tertiary,387,cellular,jul,8,unknown,0,7
49,management,married,tertiary,96,cellular,jul,2,unknown,0,7
44,entrepreneur,married,primary,5038,cellular,jul,7,unknown,0,7
28,technician,single,secondary,1581,cellular,jul,2,unknown,0,7
31,services,single,secondary,8,cellular,jul,3,unknown,0,7
47,housemaid,married,secondary,1152,telephone,jul,13,unknown,0,7
30,technician,married,tertiary,101,cellular,jul,3,unknown,0,7
29,blue-collar,single,secondary,218,cellular,jul,2,unknown,0,7
51,blue-collar,married,primary,720,cellular,jul,5,unknown,0,7
44,admin.,divorced,tertiary,0,cellular,jul,3,unknown,0,7
43,management,married,secondary,-213,telephone,jul,2,unknown,0,7
44,services,married,secondary,300,cellular,jul,3,unknown,0,7
41,admin.,married,secondary,-396,cellular,jul,4,unknown,0,7
59,blue-collar,divorced,primary,55,cellular,jul,20,unknown,0,7
49,self-employed,single,secondary,766,cellular,jul,4,unknown,0,7
31,technician,single,secondary,9,cellular,jul,2,unknown,0,7
50,entrepreneur,divorced,tertiary,223,cellular,jul,5,unknown,0,7
33,entrepreneur,married,secondary,0,cellular,jul,4,unknown,0,7
58,blue-collar,married,primary,853,cellular,jul,3,unknown,0,7
36,blue-collar,single,tertiary,1346,cellular,jul,7,unknown,0,7
35,management,married,tertiary,122,cellular,jul,4,unknown,0,7
30,admin.,single,secondary,52,cellular,jul,1,unknown,0,7
27,blue-collar,single,primary,1659,cellular,jul,3,unknown,0,7
35,management,married,tertiary,126,cellular,jul,2,unknown,0,7
53,blue-collar,married,secondary,143,cellular,jul,5,unknown,0,7
35,blue-collar,single,secondary,1688,telephone,jul,4,unknown,0,7
60,management,married,tertiary,-108,cellular,jul,2,unknown,0,7
27,blue-collar,married,secondary,102,cellular,jul,2,unknown,0,7
54,self-employed,married,secondary,203,telephone,jul,8,unknown,0,7
48,self-employed,married,secondary,252,cellular,jul,5,unknown,0,7
40,management,divorced,secondary,-626,cellular,jul,4,unknown,0,7
26,blue-collar,single,secondary,6,telephone,jul,3,unknown,0,7
38,technician,married,secondary,0,cellular,jul,5,unknown,0,7
31,blue-collar,married,primary,76,telephone,jul,4,unknown,0,7
46,blue-collar,married,primary,14,cellular,jul,1,unknown,0,7
27,management,single,tertiary,1117,cellular,jul,4,unknown,0,7
53,blue-collar,married,primary,1086,cellular,jul,5,unknown,0,7
40,blue-collar,married,primary,-23,cellular,jul,3,unknown,0,7
43,entrepreneur,married,secondary,128,telephone,jul,2,unknown,0,7
37,blue-collar,married,unknown,897,cellular,jul,2,unknown,0,7
31,housemaid,married,primary,-367,telephone,jul,2,unknown,0,7
28,self-employed,married,secondary,-228,cellular,jul,3,unknown,0,7
43,blue-collar,married,primary,8,telephone,jul,5,unknown,0,7
28,blue-collar,married,secondary,619,telephone,jul,2,unknown,0,7
47,services,married,secondary,24,cellular,jul,2,unknown,0,7
43,entrepreneur,single,tertiary,42,cellular,jul,1,unknown,0,7
57,technician,married,tertiary,-40,cellular,jul,1,unknown,0,7
58,retired,single,secondary,282,cellular,jul,1,unknown,0,7
25,blue-collar,married,secondary,267,cellular,jul,2,unknown,0,7
31,blue-collar,single,secondary,726,cellular,jul,2,unknown,1,7
47,technician,married,primary,50,telephone,jul,3,unknown,0,7
43,unknown,married,secondary,1926,telephone,jul,13,unknown,0,7
27,services,married,secondary,379,cellular,jul,2,unknown,0,7
45,entrepreneur,married,secondary,4688,cellular,jul,10,unknown,0,7
31,management,married,tertiary,256,cellular,jul,24,unknown,0,7
33,technician,married,secondary,-805,cellular,jul,2,unknown,0,7
31,blue-collar,single,secondary,-2,cellular,jul,2,unknown,0,7
32,services,single,secondary,473,cellular,jul,5,unknown,0,7
41,housemaid,married,primary,175,cellular,jul,1,unknown,0,7
31,admin.,single,secondary,-407,cellular,jul,1,unknown,0,7
30,services,single,secondary,148,cellular,jul,3,unknown,0,7
44,blue-collar,single,primary,-24,telephone,jul,1,unknown,0,7
28,student,single,secondary,305,cellular,jul,1,unknown,0,7
31,entrepreneur,divorced,tertiary,2,cellular,jul,1,unknown,0,7
36,blue-collar,married,secondary,-308,cellular,jul,11,unknown,0,7
25,unknown,single,secondary,3,cellular,jul,1,unknown,0,7
25,technician,single,secondary,-55,cellular,jul,1,unknown,0,7
27,blue-collar,married,primary,52,cellular,jul,1,unknown,0,7
60,management,married,tertiary,1573,telephone,jul,15,unknown,0,7
36,blue-collar,single,unknown,-395,telephone,jul,17,unknown,0,7
49,blue-collar,married,primary,4140,cellular,jul,4,unknown,0,7
25,blue-collar,single,secondary,495,cellular,jul,3,unknown,0,7
46,management,married,tertiary,74,cellular,jul,11,unknown,0,7
50,technician,married,tertiary,92,cellular,jul,1,unknown,0,7
50,blue-collar,divorced,primary,5,cellular,jul,1,unknown,0,7
33,admin.,married,tertiary,568,cellular,jul,1,unknown,0,7
42,management,married,secondary,4314,cellular,jul,1,unknown,0,7
30,admin.,single,secondary,312,cellular,jul,1,unknown,0,7
42,technician,single,tertiary,24,cellular,jul,1,unknown,0,7
28,admin.,married,secondary,54,cellular,jul,1,unknown,0,7
34,entrepreneur,married,tertiary,412,cellular,jul,1,unknown,0,7
33,management,married,tertiary,-139,cellular,jul,1,unknown,0,7
26,entrepreneur,married,secondary,-306,cellular,jul,1,unknown,0,7
29,admin.,single,secondary,210,cellular,jul,1,unknown,0,7
28,admin.,single,secondary,551,cellular,jul,1,unknown,0,7
32,technician,divorced,tertiary,31,cellular,jul,1,unknown,0,7
45,services,married,secondary,0,cellular,jul,7,unknown,0,7
59,retired,married,secondary,184,cellular,jul,1,unknown,0,7
46,unemployed,married,secondary,562,cellular,jul,1,unknown,0,7
32,management,married,tertiary,2102,cellular,jul,1,unknown,0,7
44,management,divorced,tertiary,193,cellular,jul,2,unknown,0,7
26,blue-collar,single,secondary,5,telephone,jul,3,unknown,0,7
53,management,married,secondary,66,telephone,jul,1,unknown,0,7
46,blue-collar,married,primary,-169,cellular,jul,1,unknown,0,7
35,entrepreneur,married,primary,2643,cellular,jul,1,unknown,0,7
56,blue-collar,divorced,primary,12,cellular,jul,1,unknown,0,7
60,management,married,primary,75,cellular,jul,1,unknown,0,7
36,technician,married,secondary,-257,cellular,jul,26,unknown,0,7
29,blue-collar,single,primary,170,cellular,jul,1,unknown,0,7
60,technician,divorced,primary,-85,telephone,jul,2,unknown,0,7
55,management,married,tertiary,979,cellular,jul,1,unknown,0,7
27,management,single,tertiary,136,cellular,jul,1,unknown,0,7
33,technician,married,tertiary,-258,cellular,jul,1,unknown,0,7
33,management,single,tertiary,99,cellular,jul,1,unknown,0,7
55,retired,married,primary,150,cellular,jul,1,unknown,0,7
28,blue-collar,single,secondary,476,cellular,jul,1,unknown,0,7
28,self-employed,single,tertiary,226,cellular,jul,1,unknown,0,7
26,admin.,single,secondary,-378,cellular,jul,1,unknown,0,7
31,management,single,tertiary,296,cellular,jul,4,unknown,1,7
39,admin.,single,secondary,1661,cellular,jul,1,unknown,0,7
26,management,single,tertiary,122,cellular,jul,1,unknown,0,7
27,services,married,primary,-90,cellular,jul,1,unknown,0,7
42,blue-collar,single,primary,1322,cellular,jul,1,unknown,0,7
42,management,divorced,secondary,-272,cellular,jul,1,unknown,0,7
34,technician,divorced,secondary,-133,cellular,jul,1,unknown,0,7
32,technician,married,secondary,2,cellular,jul,1,unknown,0,7
35,self-employed,married,tertiary,0,cellular,jul,1,unknown,0,7
33,entrepreneur,married,secondary,-627,cellular,jul,1,unknown,1,7
52,entrepreneur,married,tertiary,-468,cellular,jul,1,unknown,1,7
30,blue-collar,divorced,secondary,0,cellular,jul,1,unknown,0,7
25,management,single,tertiary,1098,cellular,jul,1,unknown,0,7
34,self-employed,married,tertiary,191,cellular,jul,1,unknown,0,7
45,blue-collar,married,secondary,-605,telephone,jul,5,unknown,0,7
27,admin.,single,secondary,-400,cellular,jul,1,unknown,0,7
36,admin.,married,secondary,68,cellular,jul,4,unknown,0,7
51,admin.,married,secondary,38,cellular,jul,3,unknown,0,7
26,technician,single,tertiary,291,cellular,jul,1,unknown,0,7
32,management,married,tertiary,2,cellular,jul,1,unknown,0,7
58,retired,divorced,tertiary,264,cellular,jul,3,unknown,0,7
57,retired,married,tertiary,1029,cellular,jul,1,unknown,0,7
56,retired,married,tertiary,87,cellular,jul,2,unknown,0,7
58,blue-collar,married,secondary,1457,cellular,jul,4,unknown,0,7
25,blue-collar,single,secondary,-220,cellular,jul,1,unknown,0,7
34,housemaid,married,secondary,-97,cellular,jul,2,unknown,0,7
27,technician,single,secondary,0,cellular,jul,1,unknown,1,7
29,services,single,secondary,1274,cellular,jul,1,unknown,0,7
36,management,married,tertiary,128,cellular,jul,1,unknown,0,7
46,management,single,tertiary,3,cellular,jul,1,unknown,0,7
32,blue-collar,married,primary,642,cellular,jul,1,unknown,0,7
55,blue-collar,married,primary,137,telephone,jul,1,unknown,0,7
28,unemployed,married,secondary,455,cellular,jul,1,unknown,0,7
26,admin.,single,secondary,-35,cellular,jul,1,unknown,0,7
39,services,single,secondary,230,cellular,jul,1,unknown,0,7
55,management,married,secondary,51,cellular,jul,1,unknown,0,7
33,entrepreneur,married,secondary,-54,cellular,jul,1,unknown,0,7
29,housemaid,married,primary,7,cellular,jul,1,unknown,0,7
45,technician,divorced,secondary,12389,cellular,jul,1,unknown,0,7
